source,target
14203,318944
14212,318944
14596,318944
15867,318944
15882,318944
15883,318944
15888,318944
15896,318944
15909,318944
45924,318944
45932,318944
45957,318944
45977,318944
45998,318944
46174,318944
46494,318944
50320,318944
321783,318944
322455,318944
4089,318945
4106,318945
14655,318945
14703,318945
49465,318945
49487,318945
4581,318946
4600,318946
4628,318946
4645,318946
4678,318946
15525,318946
15566,318946
15602,318946
4090,318947
4105,318947
14654,318947
14702,318947
49464,318947
49488,318947
14235,318948
14257,318948
14276,318948
14277,318948
14297,318948
14298,318948
15116,318948
14237,318949
14255,318949
14259,318949
14274,318949
14279,318949
14295,318949
14300,318949
14541,318949
14552,318949
14566,318949
14576,318949
14587,318949
15114,318949
15126,318949
15139,318949
16293,318949
16300,318949
16315,318949
16334,318949
44923,318949
14236,318950
14256,318950
14258,318950
14275,318950
14278,318950
14296,318950
14299,318950
15115,318950
15127,318950
43785,318951
44303,318951
3537,318952
3546,318952
4250,318952
4272,318952
4329,318952
4351,318952
4772,318952
4795,318952
5051,318952
5072,318952
14831,318952
14852,318952
14877,318952
15044,318952
15066,318952
15092,318952
15831,318952
15849,318952
16161,318952
16181,318952
16203,318952
16227,318952
16248,318952
16270,318952
46023,318952
46062,318952
46376,318952
47107,318952
14680,318953
14685,318953
14717,318953
14722,318953
33940,318954
36342,318954
36372,318954
36402,318954
36432,318954
36474,318954
36485,318954
36528,318954
36539,318954
36564,318954
36590,318954
36624,318954
36644,318954
48576,318954
48805,318954
48840,318954
50157,318954
4475,318955
4488,318955
4829,318955
4854,318955
4885,318955
4943,318955
15261,318955
15287,318955
15323,318955
15359,318955
15470,318955
15541,318955
15938,318955
15946,318955
16003,318955
16038,318955
16064,318955
16107,318955
16448,318955
44628,318955
46035,318955
12592,318956
13231,318956
41688,318956
41719,318956
41737,318956
41740,318956
44551,318956
11257,318957
11354,318957
11374,318957
42312,318957
42703,318957
42831,318957
43057,318957
43067,318957
43081,318957
43203,318957
43214,318957
43346,318957
43353,318957
43391,318957
43433,318957
43441,318957
322132,318957
322147,318957
12217,318958
12230,318958
12239,318958
12478,318958
12493,318958
42173,318958
49239,318958
32527,318959
32542,318959
32551,318959
32558,318959
32566,318959
32574,318959
32591,318959
32607,318959
32622,318959
32637,318959
32651,318959
32666,318959
32695,318959
32745,318959
32769,318959
33390,318959
33418,318959
48392,318959
322028,318959
29814,318960
29840,318960
30777,318960
30795,318960
30803,318960
30822,318960
30840,318960
30857,318960
30876,318960
30896,318960
30908,318960
30918,318960
30932,318960
31589,318960
31600,318960
31601,318960
48341,318960
51160,318960
20194,318961
20326,318961
29820,318962
29835,318962
30055,318962
30077,318962
30108,318962
32055,318962
32063,318962
32107,318962
32199,318962
32211,318962
32222,318962
32239,318962
32258,318962
32427,318962
5125,318963
5128,318963
43725,318964
43729,318964
43740,318964
43752,318964
43773,318964
43784,318964
43796,318964
43858,318964
43884,318964
44223,318964
44244,318964
44271,318964
44282,318964
44304,318964
44315,318964
44356,318964
44405,318964
7725,318965
7985,318965
7992,318965
8345,318965
8480,318965
8701,318965
8844,318965
8916,318965
18753,318965
19782,318965
20233,318965
20255,318965
20294,318965
20311,318965
20462,318965
20612,318965
20616,318965
21247,318965
21303,318965
21676,318965
21721,318965
22236,318965
22378,318965
44942,318965
47195,318965
50532,318965
1371,318966
1382,318966
1402,318966
29197,318966
30948,318966
30965,318966
35335,318966
35356,318966
35381,318966
35396,318966
35410,318966
35423,318966
35445,318966
48697,318966
48713,318966
1162,318967
1212,318967
1257,318967
1275,318967
1283,318967
1541,318967
22988,318967
22995,318967
23001,318967
23009,318967
23016,318967
23028,318967
23035,318967
23136,318967
23300,318967
23321,318967
23337,318967
24208,318967
24215,318967
24266,318967
25358,318967
25365,318967
25382,318967
25389,318967
25651,318967
25652,318967
25685,318967
